Author Name,Audio Name,Album Name,Genre,Duration,Date Published,Playlist
Debra Alexander,Campaign eye interview,Social age,Country,0:09:51,2023-04-14,Home
Lori Brown,Call,Her,Hip Hop,0:09:45,2016-10-10,Over off
Mark Bradley,Laugh she,Role million,Hip Hop,0:04:05,2017-07-15,Share industry
Mr. John Stevens,Air set,Size music,Rock,0:08:37,2023-11-22,Appear
Barry Moreno,Thing eat,Quite who,Soul,0:05:46,2014-09-13,Paper its
Wesley Hansen,Exist interest writer,Machine guy,Classical,0:08:06,2016-03-26,Then quickly
Jean Nixon,Left benefit college,Success,Jazz,0:07:22,2021-06-05,Political think
Matthew Franklin,Business ask become,Plant,Classical,0:08:12,2014-08-13,Play several
Angela Johnson,Author its,Need arm,R&B,0:03:52,2014-09-15,Involve
Hannah Robinson,Bit way,Claim push,Blues,0:04:21,2018-03-16,Test
Raymond Holloway,Risk reveal plan,And,Jazz,0:06:49,2014-08-31,Note discuss
Kyle Brown,Assume general serious,Piece,Soul,0:06:03,2018-08-02,Pick
Lisa Graham,Past seem away,Hear,Soul,0:08:15,2014-08-31,Amount summer
James Griffin,Family table health,Middle,Soul,0:04:22,2021-09-04,Lot father
Benjamin Cummings,Research soon,Peace along,Hip Hop,0:08:06,2014-09-28,Movement if
Kristin Hopkins,Push inside,Lot,Classical,0:05:57,2017-05-29,Nearly others
Patricia White,Media office,Event which,Hip Hop,0:06:48,2014-12-14,Both
Jermaine Brown,Wait wind so,Morning identify,Country,0:07:48,2021-09-26,Raise
Isaac Mcclain,Visit why,Indeed,Country,0:04:59,2018-01-12,Yourself
Chad Carpenter,State care case,Effort later,Rock,0:02:49,2024-01-10,Simple
Ronald Barnett,Decision price recognize,Almost,Country,0:04:15,2023-03-18,Family source
Lori Cox,Front traditional involve,Than program,Hip Hop,0:06:53,2020-06-14,Sing avoid
Frederick Hendricks,So official,Charge color,Country,0:05:55,2017-09-13,Choice his
Timothy Richardson,Eight easy run reason,Spring foreign,Country,0:06:43,2019-07-21,Power
Tina Walker,Bank doctor,Sense,Country,0:07:42,2019-08-31,Politics go
Matthew Ramirez,Debate group act,Behind,Rock,0:04:23,2022-08-29,Executive stand
